Report File,c:\EC\3V41-1.csv,,,,,,,,,,,,,,,
Parameter File,C:\Test Parameters\4.Regulation\ECE R16_Rev 00.par,,,,,,,,,,,,,,,
Test Date,8/26/2020,,,,,,,,,,,,,,,
Test Time,14:34:23,,,,,,,,,,,,,,,
Part Number,625724200,,,,,,,,,,,,,,,
Part Name,"Tongue side belt
",,,,,,,,,,,,,,,
Model,3V41,,,,,,,,,,,,,,,
Lot No,519,,,,,,,,,,,,,,,
Line,R27-1,,,,,,,,,,,,,,,
COP No,EC-2000806-0-02,,,,,,,,,,,,,,,
Test by,WORAMET D.,,,,,,,,,,,,,,,
Condition,Post,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,
Test Data,,,,,,,,,,,,,,,,
Step No.,Type,Rotation (°),Accel (G),Onset,Stowed Web (mm),Check 1 (mm),Check 2 (mm),Accel Chk 1 (G),Accel Chk 2 (G),Accel Lock (G),Pos at Lock (mm),Time to Lock (ms),Tilt Lock (°),Tilt Unlock (°),Results,Validation Check
2,Web,0,2,150.00 G/s,300,50,50,2.01,2.01,1.94,26,67.1,,,Lock,ok
2,Web,0,2,150.00 G/s,300,50,50,1.98,1.98,1.96,20.5,54.8,,,Lock,ok
2,Web,0,2,150.00 G/s,300,50,50,2,2,1.94,20.7,56.6,,,Lock,ok
2,Web,0,2,150.00 G/s,300,50,50,1.97,1.97,1.93,20.7,56,,,Lock,ok
2,Web,0,2,150.00 G/s,300,50,50,1.94,1.94,1.94,20.8,57.7,,,Lock,ok
3,Web,0,3,150.00 G/s,300,50,50,3.01,3.01,2.95,21.1,52.5,,,Lock,ok
3,Web,0,3,150.00 G/s,300,50,50,2.98,2.98,2.95,21.2,51.8,,,Lock,ok
3,Web,0,3,150.00 G/s,300,50,50,2.97,2.97,2.94,21.3,51.6,,,Lock,ok
3,Web,0,3,150.00 G/s,300,50,50,3,3,2.95,21.3,52,,,Lock,ok
3,Web,0,3,150.00 G/s,300,50,50,2.98,2.98,2.93,21.3,51.5,,,Lock,ok
4,Web,0,0.8,150.00 G/s,300,50,50,0.8,0.8,,,,,,No Lock,ok
5,Vehicle,0,0.45,150.00 G/s,300,50,50,0.44,0.44,0.45,19.7,97.9,,,Lock,ok
5,Vehicle,0,0.45,150.00 G/s,300,50,50,0.44,0.44,0.44,20.1,98.7,,,Lock,ok
5,Vehicle,0,0.45,150.00 G/s,300,50,50,0.44,0.44,0.45,20.2,100,,,Lock,ok
6,Vehicle,90,0.45,150.00 G/s,300,50,50,0.44,0.44,0.45,18.9,96.5,,,Lock,ok
6,Vehicle,90,0.45,150.00 G/s,300,50,50,0.44,0.44,0.45,19.1,96.7,,,Lock,ok
6,Vehicle,90,0.45,150.00 G/s,300,50,50,0.44,0.44,0.45,19.2,97.1,,,Lock,ok
7,Vehicle,180,0.45,150.00 G/s,300,50,50,0.46,0.46,0.45,20.2,99.2,,,Lock,ok
7,Vehicle,180,0.45,150.00 G/s,300,50,50,0.44,0.44,0.46,15.4,87.4,,,Lock,ok
7,Vehicle,180,0.45,150.00 G/s,300,50,50,0.43,0.43,0.46,15.6,87.2,,,Lock,ok
8,Vehicle,270,0.45,150.00 G/s,300,50,50,0.42,0.42,0.45,19,96.5,,,Lock,ok
8,Vehicle,270,0.45,150.00 G/s,300,50,50,0.41,0.41,0.45,19.2,96.8,,,Lock,ok
8,Vehicle,270,0.45,150.00 G/s,300,50,50,0.42,0.42,0.45,19.2,97.5,,,Lock,ok
9,Tilt,0,,,,,,,,,,,20,---,,ok
10,Tilt,90,,,,,,,,,,,20.5,---,,ok
11,Tilt,180,,,,,,,,,,,18.8,---,,ok
12,Tilt,270,,,,,,,,,,,20.3,---,,ok
