"Report File","p:\03 - Lab Personal\Preenapa T\kote.csv"
"Parameter File","C:\Test Parameters\1.LAT\6325659_Rev 00.par"
"Test Date","04-03-2020"
"Test Time","18:07:47"
"Part Number","6325659"
"Part Name","TONGUE SIDE BELT"
"Model","KIA"
"Lot No","0403D"
"Line","R230V1-5"
"COP No","619642"
"Test by","KORAKOT"
"Condition",""
"Comment",""
"Comment",""
"Test Data",""
"Step No.","Type","Rotation (°)","Accel (G)","Onset","Stowed Web (mm)","Check 1 (mm)","Check 2 (mm)","Accel Chk 1 (G)","Accel Chk 2 (G)","Accel Lock (G)","Pos at Lock (mm)","Time to Lock (ms)","Tilt Lock (°)","Tilt Unlock (°)","Results","Validation Check",""
"2","Web","0.0","2.00","150.00 G/s","300.0","50.0","50.0","2.02","2.02","1.99","18.2","52.7","","","Lock","ok",""
"2","Web","0.0","2.00","150.00 G/s","300.0","50.0","50.0","2.05","2.05","2.01","20.1","54.5","","","Lock","ok",""
"2","Web","0.0","2.00","150.00 G/s","300.0","50.0","50.0","2.02","2.02","2.02","20.2","55.0","","","Lock","ok",""
"2","Web","0.0","2.00","150.00 G/s","300.0","50.0","50.0","2.00","2.00","2.01","20.2","55.8","","","Lock","ok",""
"2","Web","0.0","2.00","150.00 G/s","300.0","50.0","50.0","2.01","2.01","2.00","20.4","55.8","","","Lock","ok",""
"3","Web","0.0","1.30","150.00 G/s","300.0","50.0","50.0","1.34","1.34","","","","","","No Lock","ok",""
"4","Vehicle","0.0","0.45","150.00 G/s","300.0","50.0","50.0","0.45","0.45","0.46","18.9","96.3","","","Lock","ok",""
"4","Vehicle","0.0","0.45","150.00 G/s","300.0","50.0","50.0","0.46","0.46","0.45","19.6","97.9","","","Lock","ok",""
"4","Vehicle","0.0","0.45","150.00 G/s","300.0","50.0","50.0","0.46","0.46","0.45","19.7","99.3","","","Lock","ok",""
"5","Vehicle","90.0","0.45","150.00 G/s","300.0","50.0","50.0","0.44","0.44","0.45","17.7","93.2","","","Lock","ok",""
"5","Vehicle","90.0","0.45","150.00 G/s","300.0","50.0","50.0","0.45","0.45","0.45","17.8","93.8","","","Lock","ok",""
"5","Vehicle","90.0","0.45","150.00 G/s","300.0","50.0","50.0","0.45","0.45","0.45","17.9","93.2","","","Lock","ok",""
"6","Vehicle","180.0","0.45","150.00 G/s","300.0","50.0","50.0","0.45","0.45","0.45","20.3","99.5","","","Lock","ok",""
"6","Vehicle","180.0","0.45","150.00 G/s","300.0","50.0","50.0","0.45","0.45","0.46","20.3","99.4","","","Lock","ok",""
"6","Vehicle","180.0","0.45","150.00 G/s","300.0","50.0","50.0","0.44","0.44","0.46","20.5","99.8","","","Lock","ok",""
"7","Vehicle","270.0","0.45","150.00 G/s","300.0","50.0","50.0","0.44","0.44","0.46","17.8","93.2","","","Lock","ok",""
"7","Vehicle","270.0","0.45","150.00 G/s","300.0","50.0","50.0","0.44","0.44","0.45","18.0","93.5","","","Lock","ok",""
"7","Vehicle","270.0","0.45","150.00 G/s","300.0","50.0","50.0","0.45","0.45","0.45","18.0","94.1","","","Lock","ok",""
"8","Vehicle","0.0","0.70","150.00 G/s","300.0","25.0","50.0","0.67","0.69","0.70","19.6","79.4","","","Lock","ok",""
"8","Vehicle","0.0","0.70","150.00 G/s","300.0","25.0","50.0","0.66","0.70","0.70","20.0","80.6","","","Lock","ok",""
"8","Vehicle","0.0","0.70","150.00 G/s","300.0","25.0","50.0","0.66","0.70","0.70","20.0","81.2","","","Lock","ok",""
"9","Vehicle","90.0","0.70","150.00 G/s","300.0","25.0","50.0","0.76","0.68","0.69","18.0","77.1","","","Lock","ok",""
"9","Vehicle","90.0","0.70","150.00 G/s","300.0","25.0","50.0","0.77","0.69","0.70","18.1","76.6","","","Lock","ok",""
"9","Vehicle","90.0","0.70","150.00 G/s","300.0","25.0","50.0","0.76","0.69","0.69","18.1","76.9","","","Lock","ok",""
"10","Vehicle","180.0","0.70","150.00 G/s","300.0","25.0","50.0","0.67","0.69","0.71","20.9","82.1","","","Lock","ok",""
"10","Vehicle","180.0","0.70","150.00 G/s","300.0","25.0","50.0","0.66","0.70","0.70","20.6","81.4","","","Lock","ok",""
"10","Vehicle","180.0","0.70","150.00 G/s","300.0","25.0","50.0","0.66","0.70","0.71","20.8","82.2","","","Lock","ok",""
"11","Vehicle","270.0","0.70","150.00 G/s","300.0","25.0","50.0","0.77","0.71","0.69","18.1","76.7","","","Lock","ok",""
"11","Vehicle","270.0","0.70","150.00 G/s","300.0","25.0","50.0","0.76","0.71","0.69","18.2","77.3","","","Lock","ok",""
"11","Vehicle","270.0","0.70","150.00 G/s","300.0","25.0","50.0","0.76","0.71","0.70","18.2","76.9","","","Lock","ok",""
"12","Tilt","0.0","","","","","","","","","","","20.8","---","","ok",""
"13","Tilt","90.0","","","","","","","","","","","20.5","---","","ok",""
"14","Tilt","180.0","","","","","","","","","","","20.0","---","","ok",""
"15","Tilt","270.0","","","","","","","","","","","20.2","---","","ok",""
