Item Number,Date,Performance Date,Transaction Type,Location,Begin Loc Bal,Begin Balance,Qty Required,Quantity Change,Qty Short,Unit of Measure,Last Activity Date,Order,Sales/Job,Ship Type,Address,Remarks,Debit Account,Credit Account,Material,Labor,Burden,Price,Transaction Number,Amount,Debit Cost Ctr,Credit Cost Center,ID,Subcontract,GL Date,Loc Qty Change,User ID,Lot/Serial,Effective Date,Product Line,Salesperson 1,Salesperson 2,Credit Project,Debit Project,Line,Ufld1,Ufld2,Currency,Exchange Rate,Rev,Time,Overhead,Site,Inventory Status,Grade,Expire Date,Assay Percentage,Reference ID,tr__chr01,tr__chr02,tr__chr03,tr__chr04,tr__chr05,tr__chr06,tr__chr07,tr__chr08,tr__chr09,tr__chr10,tr__chr11,tr__chr12,tr__chr13,tr__chr14,tr__chr15,tr__dte01,tr__dte02,tr__dte03,tr__dte04,tr__dte05,tr__dec01,tr__dec02,tr__dec03,tr__dec04,tr__dec05,tr__log01,tr__log02,Reference,Message Number,Program,Revision,Reference Site,Reason,Supplier Lot,Supplier Production Date,Day Code,Service Part,Salesperson,Salesperson,Salesperson,Salesperson,FSM Type,tr_upd_isb,Auto Installed,Work Code,Covered Amount,Charge Code,Batch,Service Category,Contract,Contract Type,Service Area,System Product Line,tr_svc_type,tr_ca_opn_date,Price,Engineer Code,Operation,End User,Inventory Movement Code,Ship Date,Shipper Number,Exch Rate 2,Rate Type,Sequence,Promise Date,Comment,Domain,oid_tr_hist,Consignment Qty Adjusted,Document,oid_lgd_mstr,Days Missed
616077700D,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,30,795,0,15,0,EA,12/3/2019,,,,,,,,101.11333,9.18094,0,110.29427,263019690,"1,654.41",,,17912623,0,,15,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,639,0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
616031200A,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,90,"5,451.00",0,15,0,EA,12/3/2019,,,,,,,,54.52415,2.86836,0,57.39251,263019703,860.89,,,17912579,0,,15,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,649,0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
617662600B,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,0,550,0,50,0,EA,12/3/2019,,,,,,,,193.56077,4.50659,0,198.06736,263021821,"9,903.37",,,17918421,0,,50,arj3,,12/4/2019,FG,,,,,0,,,THB,1,,"3,882",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
622171601DS2,12/4/2019,12/31/2019,RCT-WO,QFG_SB,0,0,0,2,0,EA,11/28/2019,,,,,,,,327.98725,16.52418,0,344.51143,263022299,689.02,,,18089037,0,,2,alb2,,12/4/2019,FG,,,,,0,,,THB,1,,"4,003",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
620105100GC2,12/4/2019,12/31/2019,RCT-WO,QFG_SB,0,48,0,40,0,EA,12/2/2019,,,,,,,,168.48381,13.74941,0,182.23322,263022385,"7,289.33",,,18036380,0,,40,awn2,,12/4/2019,FG,,,,,0,,,THB,1,,"4,032",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
616077700D,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,45,810,0,15,0,EA,12/4/2019,,,,,,,,101.11333,9.18094,0,110.29427,263023133,"1,654.41",,,17912623,0,,15,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,"4,332",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
617662600B,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,50,600,0,25,0,EA,12/4/2019,,,,,,,,193.56077,4.50659,0,198.06736,263023356,"4,951.68",,,17918421,0,,25,arj3,,12/4/2019,FG,,,,,0,,,THB,1,,"4,407",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
616077600D,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,30,538,0,15,0,EA,12/3/2019,,,,,,,,71.53936,5.8085,0,77.34786,263024004,"1,160.22",,,17928743,0,,15,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,"4,626",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
616077700D,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,0,825,0,15,0,EA,12/4/2019,,,,,,,,101.11333,9.18094,0,110.29427,263024161,"1,654.41",,,17912623,0,,15,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,"4,718",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
616031200A,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,30,"5,466.00",0,30,0,EA,12/4/2019,,,,,,,,54.52415,2.86836,0,57.39251,263025007,"1,721.78",,,17912579,0,,30,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,"4,962",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
616077700D,12/4/2019,12/31/2019,RCT-WO,QFG_SB10,15,840,0,15,0,EA,12/4/2019,,,,,,,,101.11333,9.18094,0,110.29427,263025682,"1,654.41",,,17912623,0,,15,ajs4,,12/4/2019,FG,,,,,0,,,THB,1,,"5,132",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02E+17,0,,0,-27
