Item Number,Date,Performance Date,Transaction Type,Location,Begin Loc Bal,Begin Balance,Qty Required,Quantity Change,Qty Short,Unit of Measure,Last Activity Date,Order,Sales/Job,Ship Type,Address,Remarks,Debit Account,Credit Account,Material,Labor,Burden,Price,Transaction Number,Amount,Debit Cost Ctr,Credit Cost Center,ID,Subcontract,GL Date,Loc Qty Change,User ID,Lot/Serial,Effective Date,Product Line,Salesperson 1,Salesperson 2,Credit Project,Debit Project,Line,Ufld1,Ufld2,Currency,Exchange Rate,Rev,Time,Overhead,Site,Inventory Status,Grade,Expire Date,Assay Percentage,Reference ID,tr__chr01,tr__chr02,tr__chr03,tr__chr04,tr__chr05,tr__chr06,tr__chr07,tr__chr08,tr__chr09,tr__chr10,tr__chr11,tr__chr12,tr__chr13,tr__chr14,tr__chr15,tr__dte01,tr__dte02,tr__dte03,tr__dte04,tr__dte05,tr__dec01,tr__dec02,tr__dec03,tr__dec04,tr__dec05,tr__log01,tr__log02,Reference,Message Number,Program,Revision,Reference Site,Reason,Supplier Lot,Supplier Production Date,Day Code,Service Part,Salesperson,Salesperson,Salesperson,Salesperson,FSM Type,tr_upd_isb,Auto Installed,Work Code,Covered Amount,Charge Code,Batch,Service Category,Contract,Contract Type,Service Area,System Product Line,tr_svc_type,tr_ca_opn_date,Price,Engineer Code,Operation,End User,Inventory Movement Code,Ship Date,Shipper Number,Exch Rate 2,Rate Type,Sequence,Promise Date,Comment,Domain,oid_tr_hist,Consignment Qty Adjusted,Document,oid_lgd_mstr,Days Missed
625724300B,13/3/2020,27/3/2020,RCT-WO,QFG_SB10,60.0,"1,487.0",0.0,20.0,0.0,EA,6/3/2020,,,,,,,,65.13516,9.01175,0.00,74.14691,278267242,"1,482.94",,,19263182,0.00,,20.0,akp11,,7/3/2020,FG,,,,,0,,,THB,1.0,,815,0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930226634.0009,0.0,,0.0,-20
616076100E,14/3/2020,27/3/2020,RCT-WO,QFG_SB,0.0,534.0,0.0,5.0,0.0,EA,6/3/2020,,,,,,,,321.65216,14.3022,0.00,335.95436,278267398,"1,679.77",,,19347275,0.00,,5.0,awk4,,7/3/2020,FG,,,,,0,,,THB,1.0,,932,0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930236438.0009,0.0,,0.0,-20
621721100AC4,15/3/2020,27/3/2020,RCT-WO,QFG_SB10,60.0,"2,818.0",0.0,60.0,0.0,EA,6/3/2020,,,,,,,,38.26254,5.42866,0.00,43.6912,278267798,"2,621.47",,,19371435,0.00,,60.0,aps4,,7/3/2020,FG,,,,,0,,,THB,1.0,,"2,553",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930437318.0009,0.0,,0.0,-20
626090900C,16/3/2020,27/3/2020,RCT-WO,QFG_SB,0.0,456.0,0.0,60.0,0.0,EA,6/3/2020,,,,,,,,152.76841,13.98565,0.00,166.75406,278269391,"10,005.24",,,19362744,0.00,,60.0,AKK9,,7/3/2020,FG,,,,,0,,,THB,1.0,,"3,907",0.00,ATh_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATh_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930509557.0009,0.0,,0.0,-20
629130900C,7/3/2020,27/3/2020,RCT-WO,QFG_SB10,0.0,"1,880.0",0.0,60.0,0.0,EA,6/3/2020,,,,,,,,121.9284,8.66331,0.00,130.59171,278270070,"7,835.50",,,19363792,0.00,,60.0,asp27,,7/3/2020,FG,,,,,0,,,THB,1.0,,"4,265",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930519092.0009,0.0,,0.0,-20
621737300E,7/3/2020,27/3/2020,RCT-WO,QFG_SB10,0.0,"4,699.0",0.0,68.0,0.0,EA,6/3/2020,,,,,,,,63.65254,6.91598,0.00,70.56852,278270358,"4,798.66",,,19263185,0.00,,68.0,aps4,,7/3/2020,FG,,,,,0,,,THB,1.0,,"4,441",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930522874.0009,0.0,,0.0,-20
626090900C,7/3/2020,27/3/2020,RCT-WO,QFG_SB,60.0,516.0,0.0,40.0,0.0,EA,7/3/2020,,,,,,,,152.76841,13.98565,0.00,166.75406,278271210,"6,670.16",,,19362744,0.00,,40.0,AKK9,,7/3/2020,FG,,,,,0,,,THB,1.0,,"4,710",0.00,ATh_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATh_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930532692.0009,0.0,,0.0,-20
622005300E,7/3/2020,27/3/2020,RCT-WO,QFG_SB10,0.0,541.0,0.0,24.0,0.0,EA,6/3/2020,,,,,,,,158.42154,0.00,0.00,158.42154,278271257,"3,802.12",,,19263730,0.00,,24.0,AUM1,,7/3/2020,SG,,,,,0,,,THB,1.0,,"4,726",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930533131.0009,0.0,,0.0,-20
625724300B,7/3/2020,27/3/2020,RCT-WO,QFG_SB10,80.0,"1,507.0",0.0,30.0,0.0,EA,7/3/2020,,,,,,,,65.13516,9.01175,0.00,74.14691,278271424,"2,224.41",,,19263182,0.00,,30.0,akp11,,7/3/2020,FG,,,,,0,,,THB,1.0,,"4,814",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930534974.0009,0.0,,0.0,-20
629128000F,7/3/2020,27/3/2020,RCT-WO,QFG_SB,0.0,"1,260.0",0.0,168.0,0.0,EA,5/3/2020,,,,,,,,244.26173,17.59454,0.00,261.85627,278272046,"43,991.85",,,19363606,0.00,,168.0,apa4,,7/3/2020,FG,,,,,0,,,THB,1.0,,"5,080",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202003070930541207.0009,0.0,,0.0,-20
