Item Number,Date,Performance Date,Transaction Type,Location,Begin Loc Bal,Begin Balance,Qty Required,Quantity Change,Qty Short,Unit of Measure,Last Activity Date,Order,Sales/Job,Ship Type,Address,Remarks,Debit Account,Credit Account,Material,Labor,Burden,Price,Transaction Number,Amount,Debit Cost Ctr,Credit Cost Center,ID,Subcontract,GL Date,Loc Qty Change,User ID,Lot/Serial,Effective Date,Product Line,Salesperson 1,Salesperson 2,Credit Project,Debit Project,Line,Ufld1,Ufld2,Currency,Exchange Rate,Rev,Time,Overhead,Site,Inventory Status,Grade,Expire Date,Assay Percentage,Reference ID,tr__chr01,tr__chr02,tr__chr03,tr__chr04,tr__chr05,tr__chr06,tr__chr07,tr__chr08,tr__chr09,tr__chr10,tr__chr11,tr__chr12,tr__chr13,tr__chr14,tr__chr15,tr__dte01,tr__dte02,tr__dte03,tr__dte04,tr__dte05,tr__dec01,tr__dec02,tr__dec03,tr__dec04,tr__dec05,tr__log01,tr__log02,Reference,Message Number,Program,Revision,Reference Site,Reason,Supplier Lot,Supplier Production Date,Day Code,Service Part,Salesperson,Salesperson,Salesperson,Salesperson,FSM Type,tr_upd_isb,Auto Installed,Work Code,Covered Amount,Charge Code,Batch,Service Category,Contract,Contract Type,Service Area,System Product Line,tr_svc_type,tr_ca_opn_date,Price,Engineer Code,Operation,End User,Inventory Movement Code,Ship Date,Shipper Number,Exch Rate 2,Rate Type,Sequence,Promise Date,Comment,Domain,oid_tr_hist,Consignment Qty Adjusted,Document,oid_lgd_mstr,Days Missed
616031200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,150,"12,854.00",0,15,0,EA,13/1/2020,,,,,,,,54.58754,2.86885,0,57.45639,268727638,861.85,,,18322715,0,,15,AJS4,,14/1/2020,FG,,,,,0,,,THB,1,,824,0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
625512600B,14/1/2020,31/1/2020,RCT-WO,QFG_SB,110,"1,230.00",0,80,0,EA,13/1/2020,,,,,,,,127.1457,14.48092,0,141.62662,268730794,"11,330.13",,,18424309,0,,80,auk2,,14/1/2020,FG,,,,,0,,,THB,1,,"4,370",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
617514200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,90,"1,110.00",0,30,0,EA,13/1/2020,,,,,,,,69.19336,8.32381,0,77.51717,268732456,"2,325.52",,,18323066,0,,30,ANS6,,14/1/2020,FG,,,,,0,,,THB,1,,"5,065",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30,492,0,40,0,EA,13/1/2020,,,,,,,,154.59041,8.06864,0,162.65906,268734307,"6,506.36",,,18337893,0,,40,AUM1,,14/1/2020,FG,,,,,0,,,THB,1,,"5,753",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
617514200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,120,"1,140.00",0,30,0,EA,14/1/2020,,,,,,,,69.19336,8.32381,0,77.51717,268734582,"2,325.52",,,18323066,0,,30,ANS6,,14/1/2020,FG,,,,,0,,,THB,1,,"5,875",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,70,532,0,10,0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0,162.65906,268734812,"1,626.59",,,18337893,0,,10,AUM1,,14/1/2020,FG,,,,,0,,,THB,1,,"5,983",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
616031200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0,"12,869.00",0,75,0,EA,14/1/2020,,,,,,,,54.58754,2.86885,0,57.45639,268736203,"4,309.23",,,18322715,0,,75,AJS4,,14/1/2020,FG,,,,,0,,,THB,1,,"6,542",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
625512600B,14/1/2020,31/1/2020,RCT-WO,QFG_SB,190,"1,310.00",0,90,0,EA,14/1/2020,,,,,,,,127.1457,14.48092,0,141.62662,268737326,"12,746.40",,,18424309,0,,90,auk2,,14/1/2020,FG,,,,,0,,,THB,1,,"6,969",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30,542,0,50,0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0,162.65906,268737593,"8,132.95",,,18337893,0,,50,AUM1,,14/1/2020,FG,,,,,0,,,THB,1,,"7,120",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
621975200D,14/1/2020,31/1/2020,RCT-WO,QFG_SB,12,"1,194.00",0,54,0,EA,13/1/2020,,,,,,,,317.23907,16.06044,0,333.29951,268738074,"17,998.17",,,18638271,0,,54,akt6,,14/1/2020,FG,,,,,0,,,THB,1,,"7,270",0,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0,,,,,,,,,,0,,,,,,,1,,0,,0,ATHSB,2.02001E+17,0,,0,-17
