Item Number,Date,Performance Date,Transaction Type,Location,Begin Loc Bal,Begin Balance,Qty Required,Quantity Change,Qty Short,Unit of Measure,Last Activity Date,Order,Sales/Job,Ship Type,Address,Remarks,Debit Account,Credit Account,Material,Labor,Burden,Price,Transaction Number,Amount,Debit Cost Ctr,Credit Cost Center,ID,Subcontract,GL Date,Loc Qty Change,User ID,Lot/Serial,Effective Date,Product Line,Salesperson 1,Salesperson 2,Credit Project,Debit Project,Line,Ufld1,Ufld2,Currency,Exchange Rate,Rev,Time,Overhead,Site,Inventory Status,Grade,Expire Date,Assay Percentage,Reference ID,tr__chr01,tr__chr02,tr__chr03,tr__chr04,tr__chr05,tr__chr06,tr__chr07,tr__chr08,tr__chr09,tr__chr10,tr__chr11,tr__chr12,tr__chr13,tr__chr14,tr__chr15,tr__dte01,tr__dte02,tr__dte03,tr__dte04,tr__dte05,tr__dec01,tr__dec02,tr__dec03,tr__dec04,tr__dec05,tr__log01,tr__log02,Reference,Message Number,Program,Revision,Reference Site,Reason,Supplier Lot,Supplier Production Date,Day Code,Service Part,Salesperson,Salesperson,Salesperson,Salesperson,FSM Type,tr_upd_isb,Auto Installed,Work Code,Covered Amount,Charge Code,Batch,Service Category,Contract,Contract Type,Service Area,System Product Line,tr_svc_type,tr_ca_opn_date,Price,Engineer Code,Operation,End User,Inventory Movement Code,Ship Date,Shipper Number,Exch Rate 2,Rate Type,Sequence,Promise Date,Comment,Domain,oid_tr_hist,Consignment Qty Adjusted,Document,oid_lgd_mstr,Days Missed
621123100B,12/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"1,957.0",0.0,80.0,0.0,EA,11/1/2020,,,,,,,,53.60765,0.00,0.00,53.60765,268409958,"4,288.61",,,18622024,0.00,,80.0,akp11,,12/1/2020,SG,,,,,0,,,THB,1.0,,68,0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729509498.0009,0.0,,0.0,-19
623554700A,12/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,78.0,0.0,52.0,0.0,EA,11/1/2020,,,,,,,,33.99602,8.39805,0.00,42.39407,268410163,"2,204.49",,,18337727,0.00,,52.0,ANS6,,12/1/2020,FG,,,,,0,,,THB,1.0,,948,0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729512007.0009,0.0,,0.0,-19
617663400E,12/1/2020,31/1/2020,RCT-WO,QFG_SB,120.0,"2,640.0",0.0,20.0,0.0,EA,11/1/2020,,,,,,,,125.27347,10.53395,0.00,135.80742,268410383,"2,716.15",,,18410569,0.00,,20.0,auk2,,12/1/2020,FG,,,,,0,,,THB,1.0,,"2,675",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729547690.0009,0.0,,0.0,-19
621737700E,12/1/2020,31/1/2020,RCT-WO,QFG_SB,84.0,998.0,0.0,60.0,0.0,EA,11/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268411028,"9,164.35",,,18429749,0.00,,60.0,ast7,,12/1/2020,FG,,,,,0,,,THB,1.0,,"3,514",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729555501.0009,0.0,,0.0,-19
630621700A,12/1/2020,31/1/2020,RCT-WO,QFG_SB,330.0,"2,880.0",0.0,30.0,0.0,EA,11/1/2020,,,,,,,,212.49848,14.07083,0.00,226.56931,268411556,"6,797.08",,,18424674,0.00,,30.0,awc2,,12/1/2020,FG,,,,,0,,,THB,1.0,,"3,861",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729648414.0009,0.0,,0.0,-19
621737700E,12/1/2020,31/1/2020,RCT-WO,QFG_SB,144.0,"1,058.0",0.0,30.0,0.0,EA,12/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268412249,"4,582.17",,,18429749,0.00,,30.0,ast7,,12/1/2020,FG,,,,,0,,,THB,1.0,,"4,131",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729656678.0009,0.0,,0.0,-19
621737700E,12/1/2020,31/1/2020,RCT-WO,QFG_SB,174.0,"1,088.0",0.0,18.0,0.0,EA,12/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268413342,"2,749.30",,,18429749,0.00,,18.0,ast7,,12/1/2020,FG,,,,,0,,,THB,1.0,,"4,558",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729671245.0009,0.0,,0.0,-19
626089500A,12/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,684.0,0.0,36.0,0.0,EA,11/1/2020,,,,,,,,89.06538,7.55635,0.00,96.62173,268413429,"3,478.38",,,18337842,0.00,,36.0,ans11,,12/1/2020,FG,,,,,0,,,THB,1.0,,"4,604",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729672418.0009,0.0,,0.0,-19
626515700G,12/1/2020,31/1/2020,RCT-WO,QFG_SB,0.0,21.0,0.0,35.0,0.0,EA,7/1/2020,,,,,,,,334.2367,16.06044,0.00,350.29714,268413492,"12,260.40",,,18430145,0.00,,35.0,akt6,,12/1/2020,FG,,,,,0,,,THB,1.0,,"4,637",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729673259.0009,0.0,,0.0,-19
617663400E,12/1/2020,31/1/2020,RCT-WO,QFG_SB,140.0,"2,660.0",0.0,80.0,0.0,EA,12/1/2020,,,,,,,,125.27347,10.53395,0.00,135.80742,268413611,"10,864.59",,,18410569,0.00,,80.0,auk2,,12/1/2020,FG,,,,,0,,,THB,1.0,,"4,740",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001120729674990.0009,0.0,,0.0,-19
